UID	Ferlus's numbering	I = EFEO; II = SOAS +CNRS; III = Michel Ferlus; IV = Frédéric Pain	French	English	Chinese [简体中文]	Vietnamese	Vietnamese (older form, corrected since)	Written Khmer	Standard (Modern) Khmer	Tatey Leu Khmer	Written Khmer: variant	Standard (Modern) Khmer: variant	Tatey Leu Khmer: variant	semantics	sémantique	TaiYo	TaiYo IPA (Mỹ Dạ)		
2485	404.6	III	Vendre	Sell	卖	bán		-	-					actions and states	actions, états				
2486	404.7	III	Commercer	Trade	买卖	mua bán, buôn bán		-	-					actions and states	actions, états				
2487	404.7a	III	Prix	Price	价格	giá cả		-	-					actions and states	actions, états				
2488	404.7b	III	Bénéfice	Profit	利润	lời lãi		-	-					actions and states	actions, états				
2489	404.8	III	Argent, monnaie	Money	（金）钱	tiền bạc		-	-					actions and states	actions, états				
2490	404.8a	III	Monnaie (pièce)	Currency	货币	đồng tiền, tiền tệ	tiền đồng	-	-					actions and states	actions, états				
2491	404.8b	III	Monnaie (papier)	Paper currency	纸币	tiền giấy		-	-					actions and states	actions, états				
2492	404.9	III	Augmenter (prix)	(Price increases)	涨价	tăng giá		-	-					actions and states	actions, états				
2493	404.10	III	Diminuer (prix)	(Price decreases)	减价	hạ, giảm giá		-	-					actions and states	actions, états				
2494	404.11	III	Louer	Rent	租	thuê		-	-					actions and states	actions, états				
2495	404.11a	III	Prix de location	Rental	租金	giá thuê		-	-					actions and states	actions, états				
2496	404.12	III	Échanger, troquer	Exchange	交换	đổi chác		-	-					actions and states	actions, états				
2497	404.13	III	Emprunter (argent)	Borrow (money)	借（钱）	mượn, vay tiền		-	-					actions and states	actions, états				
2498	404.13a	III	Emprunter (objet)	Borrow (object)	借（东西，物体）	mượn vật		-	-					actions and states	actions, états				
2499	404.13b	III	Dette	Debt	债务	món nợ		-	-					actions and states	actions, états				
2500	404.13c	III	Réclamer une dette	Demand debt	即期债务	nợ đáo hạn	đòi nợ	-	-					actions and states	actions, états				
2501	404.14	III	Prêter	Lend	借给	cho vay	cho mượn	-	-					actions and states	actions, états				
2502	404.14a	III	Gage	Pledge	抵押品	vật thế chấp	đồ thế nợ	-	-					actions and states	actions, états				
2503	404.15	III	Gagner (salaire)	Earn	赚（报酬，工资，薪水）	ăn lương		-	-					actions and states	actions, états				
2504	404.15a	III	Salaire	Salary	薪水	tiền lương		-	-					actions and states	actions, états				
2505	404.16	III	Économiser, thésauriser	Hoard	储存	để dành, dành dụm		-	-					actions and states	actions, états				
2506	404.16a	III	Biens	Property	财产	của cải		-	-					actions and states	actions, états				
2507	404.17	III	Riche	Rich	富有	giàu có		-	-					actions and states	actions, états				
2508	404.18	III	Pauvre	Poor	贫穷	nghèo khó		-	-					actions and states	actions, états				
2509	404.19	III	Donner	To give	给	cho, biếu		-	-					actions and states	actions, états				
2510	404.20	III	Distribuer	Distribute	分发	phân phát		-	-					actions and states	actions, états				
2511	404.21	III	Partager (en parts)	Divide	分	chia	phân chia ra	-	-					actions and states	actions, états				
2512	404.21a	III	Part	Part	部分	một phần		-	-					actions and states	actions, états				
2513	404.22	III	Choisir	Choose	选择（动词）	chọn lựa		-	-					actions and states	actions, états				
2514	404.23	III	Changer de …	Change	改变	thay, đổi		-	-					actions and states	actions, états				
2515	404.24	III	Voler (argent, objets)	Steal	偷	ăn trộm, đánh cắp		-	-					actions and states	actions, états				
2516	404.24b	III	Voleur	Thief	贼，小偷	đứa ăn trộm		-	-					actions and states	actions, états				
2517	404.25	III	Bandit	Bandit	强盗，土匪	kẻ cướp	quân giặc cướp	-	-					actions and states	actions, états				
2518	405	I	Larmes	Tear	泪	nước mắt		dịk bhnæk	tɨk pʰnɛːc	tɯ`k pʰnɛːk				actions and states	actions, états				
2519	405.1	III	Transpirer, en sueur	Sweat	出汗	đổ mồ hôi	ra mồ hôi	pæk ñœs	ɓaec ɲəːh	-				actions and states	actions, états				
2520	406	I	Sueur	Sweat	汗	mồ hôi		ñœs	ɲəːh	ɲìːh				actions and states	actions, états				
2521	406a	II	Salive	Saliva	唾液	nước miếng		dịk māt¢	tɨk moət	tɯ`k màt				actions and states	actions, états				
2522	406b	II	Crachat	Spittle	痰	đờm		kaṁhāk	kəmhaːʔ	kɔmhɛːk				actions and states	actions, états				
2523	406c	III	Cracher	Spit	吐口水	khạc đờm		khāk	kʰaːʔ	-				actions and states	actions, états				
2524		IV						sṭoḥ	sɗɑh					actions and states	actions, états				
2525	406d	III	Morve	Snot	鼻涕	nước mũi		-	-					actions and states	actions, états				
2526	406e	III	Moucher, se moucher	To blow one's nose	擤	hỉ mũi		-	-					actions and states	actions, états				
2527	406f	III	Cérumen	Cerumen	耳屎，耳垢	cứt tai, cứt ráy		-	-					actions and states	actions, états				
2528	406g	III	Bave (des animaux)	Slobber, slaver	口水	nước dãi, bọt miếng		-	-					actions and states	actions, états				
2529	406.1	II	Paresseux	Lazy	懒	biếng nhác		kjil (cra'ūs)	kʰcɨl (crəʔoːh)	kəcil				adjectives	adjectifs				
2530	406.1a	III	Indolent	Indolent	懒惰	uể oải	lờ đờ, uể oãi	-	-					adjectives	adjectifs				
2531	406.1b	III	Actif	Active	活跃	năng động		-	-					adjectives	adjectifs				
2532	406.2	II	Aveugle	Blind	瞎	đui, mù		khvāk¢	kʰvaʔ	kʰwak				adjectives	adjectifs				
2533		IV						ṅaṅịt bhnæk	ŋəŋɨt pʰnɛːc					adjectives	adjectifs				
2534	406.2a	III	Borgne	One-eyed	独眼	một mắt, chột	chột mắt	-	-					adjectives	adjectifs				
2535	406.2b	III	Strabisme	Strabismus	斜视	lác mắt	lé mắt	-	-					adjectives	adjectifs				
2536	406.3	II	Sourd	Deaf	聋	điếc		thlaṅ¢	tʰlɑŋ	tʰlɒŋ				adjectives	adjectifs				
2537	406.4	II	Muet	Dumb	哑	câm		ga	kɔː	kɔ`ː				adjectives	adjectifs				
2538	406.5	III	Bégayer	Stutter	口吃	cà lăm		-	-					adjectives	adjectifs				
2539	406.6	III	Infirme, paralysé	Paralyzed	瘫痪，麻痹	bại liệt		-	-					adjectives	adjectifs				
2540	406.7	III	Manchot	One-handed	只有一只手的	cụt tay	người cụt tay	-	-					adjectives	adjectifs				
2541	406.8	III	Pied bot	Club-foot	弯脚	vẹo chân, chân vòng kiềng	quẹo chân	-	-					adjectives	adjectifs				
2542	406.9	III	Bossu	Hunchback, hunchbacked	驼背	gù lưng		-	-					adjectives	adjectifs				
2543	406.10	III	Bec de lièvre	Harelip	兔唇	sứt môi		-	-					adjectives	adjectifs				
2544	406.11	III	Nain	Dwarf, short	矮	lùn		-	-					adjectives	adjectifs				
2545	407	I	Mécontent	Unhappy	不满	không bằng lòng		min sappāy citt	mɨn sapɓaːj cɤt	səɓaːj				adjectives	adjectifs				
2546	407.1	III	Méchant	Evil	邪恶	dữ tợn		-	-					adjectives	adjectifs				
2547	407.2	III	Jaloux	Jealous	妒忌	ganh, ghen		-	-					adjectives	adjectifs				
2548	408	I	Content	Happy	乐意，满意	bằng lòng		beñ citt	peɲ cɤt	rìk ràːj				adjectives	adjectifs				
2549		IV						sappāy citt	sapɓaːj cɤt					adjectives	adjectifs				
2550	408a	III	Heureux, joyeux	Happy	快乐，高兴	sung sướng, vui vẻ		-	-					adjectives	adjectifs				
2551	408b	III	Triste	Sad	伤心，难过	buồn rầu		-	-					adjectives	adjectifs				
2552	408c	III	Adroit, habile	Adroit	机巧	khéo léo		-	-					adjectives	adjectifs				
2553	408d	III	Maladroit	Clumsy	笨拙	vụng về		-	-					adjectives	adjectifs				
2554	408e	III	Honnête, droit	Honest	诚实	thật thà, ngay thẳng		-	-					adjectives	adjectifs				
2555	408f	III	Malhonnête	Dishonest, roguish	不诚实	gian xảo		-	-					adjectives	adjectifs				
2556	408.1	II	Cru (non cuit)	Raw	生（生肉：生的在未加工前呈鲜红色的肉类）	(thịt) sống	thịt sống	chau	cʰaw	cʰɔw				adjectives	adjectifs				
2557	408.1a	II	Cuit	Cooked	熟（肉）	(thịt) chín	thịt chín	ch'in	cʰʔɤn	cɛ´n				adjectives	adjectifs				
2558	408.1b	III	Mi-cuit (aliments)	Half-cooked (food)	半熟（食物）	tái (thức ăn)	thịt tái chín	-	-					adjectives	adjectifs				
2559	408.1c	III	Vivant	Alive	活着	sống	cá còn sống	-	-					adjectives	adjectifs				
2560	408.1d	III	Frais (légumes)	Fresh (vegetables)	新鲜（蔬菜）	(rau) tươi	rau tươi	-	-					adjectives	adjectifs				
2561	408.1e	III	Tendre	Tender	嫩	(thịt) mềm	thịt mềm	-	-					adjectives	adjectifs				
2562	408.1f	III	Coriace	Coriaceous	韧	thịt dai		-	-					adjectives	adjectifs				
2563	408.1g	III	Pourri	Rotten	腐烂	(thịt) thối, (trái) bủn, (quả) ủng	thịt thối, trái bủn	-	-					adjectives	adjectifs				
2564	408.2	II	Mûr	Ripe	熟	(trái) chín	trái chín	duṁ	tum	tùm				adjectives	adjectifs				
2565	408.3	II	Amer	Bitter	苦	đắng		lvīṅ	ləviːɲ	ləwìːŋ				adjectives	adjectifs				
2566		IV						y"aṅ jūr cat¢	jaːŋ cuː cɑt	cɒ´t				adjectives	adjectifs				
2567	408.4	II	Acide	Acid	酸	chua		jūr	cuː	cùː				adjectives	adjectifs				
2568	408.5	II	Salé	Salty	咸	mặn		prai	praj	prɛ´j				adjectives	adjectifs				
2569	408.6	II	Apre	Sharp (to the taste, like pineapple)	涩	chát sít	chát	cat¢	cɑt	cɒt				adjectives	adjectifs				
2570	408.7	II	Doux (sucré)	Sweet	甜	ngọt	trái ngọt	ph'æm	pʰʔaem	péːm				adjectives	adjectifs				
2571	408.8	II	Astringent	Astringent	收敛	làm se	làm cho teo lại	-	kʰa´ːr					adjectives	adjectifs				
2572	408.9	II	Épicé, fort	Hot (of peppers)	辣	cay	đồ ăn cay	-	-					adjectives	adjectifs				
2573	408.10	III	Croquant	Crisp	脆	đồ ăn giòn		-	-					adjectives	adjectifs				
2574	408.11	III	Fort (tabac)	Strong (tobacco)	浓（烟草）	(thuốc lá) nặng	thuốc hút nặng	-	-					adjectives	adjectifs				
2575	408.12	III	Bon (au goût)	Good (to taste), delicious	好（口味），美味，可口，好吃	(vị) ngon	vị ngon	-	-					adjectives	adjectifs				
2576	408.13	III	Fade	Tasteless, insipid	淡	(vị) nhạt	món ăn nhạt nhẽo	-	-					adjectives	adjectifs				
2577	408.14	III	Odorant, parfumé	Fragrant	香	thơm		-	-					adjectives	adjectifs				
2578	408.15	III	Malodorant	Malodorous	臭	hôi, thối	mùi thối	-	-					adjectives	adjectifs				
2579	408.16	III	Âcre, sentir fort	Acrid, strong-smelling	刺鼻，味道很冲	nồng, nặng mùi	có mùi hăng	-	-					adjectives	adjectifs				
2580	409	I	Droit (route)	Straight	直	thẳng		traṅ¢	trɑŋ	trɒ´ŋ				adjectives	adjectifs				
2581		III	Droit (angle)	Right (angle)	直（角）	(góc) vuông		kæṅ	kaeɲ					adjectives	adjectifs				
2582	409.1	III	Anguleux	Angular	有尖角的	góc cạnh		-	-					adjectives	adjectifs				
2583	409.2	III	Sinueux, chemin sinueux	Sinuous	弯曲，盘曲	quanh co	vòng vèo	-	-					adjectives	adjectifs				
2584	409.3	III	Rond, cercle	Round	圆	tròn		-	-					adjectives	adjectifs				
2585	409.4	III	Carré	Square	正方，方形	vuông		-	-					adjectives	adjectifs				
2586	409.5	III	Vertical	Vertical	垂直	thẳng đứng		-	-					adjectives	adjectifs				
2587	409.6	III	Penché	Leaning	斜	nghiêng		-	-					adjectives	adjectifs				
2588	409.7	III	Aligné	Aligned	对齐	thẳng hàng		-	-					adjectives	adjectifs				
2589	409.8	III	Plat, horizontal	Flat	平坦	bằng phẳng		-	-					adjectives	adjectifs				
2590	409.9	III	Bosselé (terrain)	Bumpy (land)	颠簸	đất gồ ghề		-	-					adjectives	adjectifs				
2591	410	I	Courbé	Curved	弯，弯曲	cong		koṅ	kaoŋ	kóːŋ				adjectives	adjectifs				
2592		IV								vìɛc				adjectives	adjectifs				
2593		IV								trèːt				adjectives	adjectifs				
2594	410.1	II	Rugueux	Rough	粗	da xù xì, nhám		gagrœm	kəkrəːm	krəːm				adjectives	adjectifs				
2595		IV						gagrāt	kəkriət	səkrɯ`t səkràːt				adjectives	adjectifs				
2596	410.2	II	Lisse	Smooth	精（v.s 粗）；光滑（v.s 粗糙）	trơn nhẵn		ralīṅ	rəliːɲ	ʔalìːŋ ʔalòːŋ				adjectives	adjectifs				
2597	410.2a	III	Arrondi (objet)	Round (adj)	圆	tròn, tròn trịa	vê cho tròn	-	-					adjectives	adjectifs				
2598	410.2b	III	Collant	Adhesive	粘着的	dính		-	-					adjectives	adjectifs				
2599	410.3	II	Épais	Thick	厚	dày		krās¢	krah	kráh				adjectives	adjectifs				
2600	410.4	II	Mince	Thin	薄	mỏng		sṭœṅ	sɗaəŋ	sɗəŋ				adjectives	adjectifs				
2601	410.4a	III	Transparent	Transparent	透明	trong veo		-	-					adjectives	adjectifs				
2602	410.5	II	Facile	Easy	易	dễ dàng		sruol	sruəl	srúal				adjectives	adjectifs				
2603		IV						sraṇuk	srənok	sənòk				adjectives	adjectifs				
2604		IV						ṅāy	ŋiəj					adjectives	adjectifs				
2605	410.6	II	Difficile	Difficult	难	khó khăn		bipāk	pi(ʔ)ɓaːʔ	pəɓaːk/(m)maːk				adjectives	adjectifs				
2606	410.7	II	Dense	Dense/thick	密（密集）	rậm rạp		-	cət					adjectives	adjectifs				
2607	410.8	II	Rare	Sparse, scanty	稀（稀少）	thưa, thưa thớt	hiếm có	raṅvœl	rəŋveːl	hə´ːp				adjectives	adjectifs				
2608		IV	(objet, qualité)					kamra (mān)	kəmrɑː (miən)					adjectives	adjectifs				
2609		IV						kra mān	krɑː miən					adjectives	adjectifs				
2610		IV	(végétation)					lpoḥ	ləɓɑh					adjectives	adjectifs				
2611	410.9	II	Bon (général)	Good	好	tốt, hay		l'a	ləʔɑː	lɔ`ː				adjectives	adjectifs				
2612		IV								trúː				adjectives	adjectifs				
2613		IV								ɓaːn				adjectives	adjectifs				
2614	410.10	II	Mal	Bad	坏	xấu, dở		'ākrak¢	ʔakrɑʔ	ʔakrɒk				adjectives	adjectifs				
2615		IV								kʰoh				adjectives	adjectifs				
2616	410.11	II	Humide	Wet	湿	ẩm ướt		dadịk	tətɨk	sətə`k				adjectives	adjectifs				
2617		IV						sœm	saəm					adjectives	adjectifs				
2618	410.12	II	Sec	Dry	干	khô		sṅuot (hæṅ)	sŋuət (haeɲ)	sŋúat				adjectives	adjectifs				
2619	411	I	Petit	Small	小	nhỏ		tūc	toːc/tuːc	túːc				adjectives	adjectifs				
2620		IV						dāp	tiəp	lét				adjectives	adjectifs				
2621	412	I	Grand	Big	大	lớn		dhaṁ	tʰom	tʰom				adjectives	adjectifs				
2622	412.1	II	Long	Long	长	dài		væṅ	vɛːŋ	wɛ̀ːŋ				adjectives	adjectifs				
2623	412.2	II	Court	Short	短	ngắn, vắn		khlī	kʰlɛj	kəlíː				adjectives	adjectifs				
2624	412.2a	III	Moyen	Average	平均	vừa, trung bình		-	-					adjectives	adjectifs				
2625	412.3	II	Propre	Clean	干净，清	sạch sẽ		s'āt	sʔaːt	saːt				adjectives	adjectifs				
2626	412.4	II	Sale	Dirty	脏	nhơ, bẩn, nhớp		k(r)akhvat¢	kəkʰvɑʔ	kəkwak				adjectives	adjectifs				
2627		IV						smok grok	smaoʔ krɷːʔ					adjectives	adjectifs				
2628	412.4a	III	Souillé de boue	Clotted with mud, covered with mud	被泥巴染污，被泥巴弄脏	lấm bùn		-	-					adjectives	adjectifs				
2629	412.5	II	Chaud	Hot	热	nóng		kṭau	kʰɗaw	kəɗɔw				adjectives	adjectifs				
2630	412.6	II	Froid	Cold	冷	lạnh, rét		trajāk¢	trəceəʔ	təcak				adjectives	adjectifs				
2631	412.7	III	Frais, temps frais	Cool 	凉爽	mát mẻ		-	-					adjectives	adjectifs				
2632	413	I	Maigre	Thin	瘦	ốm gầy		sgam	skɔːm	səkɔ̀ːm				adjectives	adjectifs				
2633	413a	III	Maigrir	Slim	变瘦，消瘦	gầy đi		-	-					adjectives	adjectifs				
2634	414	I	Gros	Fat	肥，胖	to		dhāt¢	tʰoət	tʰat				adjectives	adjectifs				
2635		IV						māṁ	miam	màm				adjectives	adjectifs				
2636	414a	III	Grossir	Enlarge	扩大，增大	to ra		-	-					adjectives	adjectifs				
2637	414.1	III	Gros et gras	Big and fat	又大又肥，又大又胖	to béo		-	-					adjectives	adjectifs				
2638	414.2	III	Beau, joli	Beautiful	美	đẹp		-	-					adjectives	adjectifs				
2639	414.3	III	Laid	Ugly	丑	xấu dạng		-	-					adjectives	adjectifs				
2640	415	I	Lent	Slow	慢	chậm		yðt	jɨːt	jɯ`ːt				adjectives	adjectifs				
2641	416	I	Rapide	Quick	快	nhanh, mau		lịœn	liən	lian/liɛn				adjectives	adjectifs				
2642		IV						rahăs	rəhah	rəhah				adjectives	adjectifs				
2643	416.1	II	Haut	High	高	cao		-	-					adjectives	adjectifs				
2644	416.2	II	Bas	Low	低	thấp		-	-					adjectives	adjectifs				
2645	416.3	II	Profond	Deep	深	sâu		-	-					adjectives	adjectifs				
2646	416.4	II	Peu profond	Shallow	浅	nông cạn		-	-					adjectives	adjectifs				
2647	416.5	II	Lourd	Heavy	重	nặng nề		-	-					adjectives	adjectifs				
2648	416.6	II	Léger	Light (in weight)	轻	nhẹ nhàng		-	-					adjectives	adjectifs				
2649	416.7	III	Dur	Hard	硬	cứng		-	-					adjectives	adjectifs				
2650	416.8	III	Mou	Soft	软	mềm		-	-					adjectives	adjectifs				
2651	416.9	III	Large	Large	大，广	rộng rãi		-	-					adjectives	adjectifs				
2652	416.10	III	Vaste	Wide	宽	rộng mênh mông		-	-					adjectives	adjectifs				
2653	416.11	III	Étroit	Narrow	窄	hẹp		-	-					adjectives	adjectifs				
2654	416.12	III	Fort (en force)	Strong	强	mạnh	mạnh mẽ	-	-					adjectives	adjectifs				
2655	416.13	III	Faible	Weak	弱	yếu ớt		-	-					adjectives	adjectifs				
2656	416.14	III	Nouveau	New	新	mới (mẻ)		-	-					adjectives	adjectifs				
2657	416.15	III	Ancien	Old	旧	cũ	cũ kàng	-	-					adjectives	adjectifs				
2658	416.15a	III	Usé (vêtement)	Worn (clothing)	旧（穿旧的，穿坏的）	áo cũ, mòn		-	-					adjectives	adjectifs				
2659	416.16	III	Cher	Expensive	昂贵，高价	đắt giá		-	-					adjectives	adjectifs				
2660	416.17	III	Bon marché	Cheap	便宜，廉价	rẻ tiền		-	-					adjectives	adjectifs				
2661	416.18	III	Plein	Full	满	đầy		-	-					adjectives	adjectifs				
2662	416.19	III	Vide	Empty	空	rỗng không		-	-					adjectives	adjectifs				
2663	416.19a	III	Mi-plein, mi-vide	Half empty	半空（一半是空的）	lưng, vơi	lưng	-	-					adjectives	adjectifs				
2664	416.19b	III	Vide*, presque vide	Almost empty	几乎是空的	gần như trống rỗng, gần cạn	rỗng, cạn không	-	-					adjectives	adjectifs				
2665	417	I	Devant	In front	前	đàng trước		(khāṅ) mukh	(kʰaːŋ) muk	kʰaːŋ mùk				adjectives	adjectifs				
2666	417.1	III	Face à face	Face to face	面对面	đối mặt		-	-					adjectives	adjectifs				
2667	418	I	Derrière	Behind	后	đàng sau		(khāṅ) kroy	(kʰaːŋ) kraoj	kʰaːŋ króːj				adjectives	adjectifs				
2668	418.1	III	Dos à dos	Back to back	背靠背	đấu lưng	đâu lưng lại	-	-					adjectives	adjectifs				
2669	419	I	Droite	Right	右	(bên) phải	bên mặt	(khāṅ) sṭāṁ	(kʰaːŋ) sɗam	kʰaːŋ səɗam				adjectives	adjectifs				
2670	420	I	Gauche	Left	左	bên trái		(khāṅ) chveṅ	(kʰaːŋ) cʰveːɲ	kʰaːŋ cʰwìːŋ				adjectives	adjectifs				
2671	420.1	III	Gaucher	left-handed	惯用左手	thuận tay trái		-	-					adjectives	adjectifs				
2672	421	I	Au-dessus	Above	上	bên trên		(khāṅ) lœ	(kʰaːŋ) ləː	kʰaːŋ lə`ː				adjectives	adjectifs				
2673	422	I	Au-dessous	Below	下	bên dưới		(khāṅ) krom	(kʰaːŋ) kraom	kʰaːŋ kroːm				adjectives	adjectifs				
2674	422.1	II	Dedans	Inside	内，里	bên trong		(khāṅ) knuṅ	(kʰaːŋ) kʰnoŋ	kʰaːŋ kənoːŋ				adjectives	adjectifs				
2675	422.2	II	Dehors	Outside	外	bên ngoài		(khāṅ) krau	(kʰaːŋ) kraw	kʰaːŋ krɔw				adjectives	adjectifs				
2676	422.3	III	Milieu, au milieu, au centre	Middle, between	中间	ở giữa		-	-					adjectives	adjectifs				
2677	423	I	Côté, à côté	Beside	旁边	ở cạnh, ở bên cạnh		nau jit	nəw cɨt	cìt				adjectives	adjectifs				
2678	424	I	Près de	Near to	近	gần nơi		nau jit	nəw cɨt	nòː cìt				adjectives	adjectifs				
2679	425	I	Loin de	Far, distant (from)	远	xa nơi		chṅāy bī	cʰŋaːj piː	nòː cʰŋáːj				adjectives	adjectifs				
2680	425.1	II	Vrai	true	真	thật, thực		bit	pɨt	pet				adjectives	adjectifs				
2681		IV						prākaṭ	prakɑt					adjectives	adjectifs				
2682		IV						mæn dæn	mɛːn tɛːn					adjectives	adjectifs				
2683		IV						(trịm) trūv	(trɤm) trɤw					adjectives	adjectifs				
2684		III												adjectives	adjectifs				
2685	425.2	II	Faux	False, untrue	假	giả		khus	kʰoh	-				adjectives	adjectifs				
2686		IV						min bit	mɨn pɨt					adjectives	adjectifs				
2687	425.3	II	Cette (maison) ci	This (house)	这	cái nhà này		phdaḥ neḥ	pʰtɛəh neːh	pʰtah neh				various	divers				
2688	425.4	II	Cette (maison) là	That (house)	那	cái nhà đó		phdaḥ noḥ	pʰtɛəh noːh	pʰtah nuh				various	divers				
2689	425.5	III	Cette (maison) là-bas	This	这	(cái nhà) này	cái nhà kia	-	-					various	divers				
2690	426	I	Qui (qui est cet homme ?)	Who? (in Who is that man?)	谁	ai đây ?		'nak ṇā	neəʔ naː	nàk naː				various	divers				
2691	427	I	Quoi (que mangez-vous ?)	What? (in What are you eating?)	什么，啥	ăn gì ?		'vī ṭæl	ʔavɛj ɗael	ʔawíː/ʔaʔíː				various	divers				
2692	428	I	D’où (d’où venait-il ?)	Whence? (in Where has he come from?)	哪里，何处	ở đâu đến ?		bī ṇā mak	piː naː mɔːʔ	pìː nàː				various	divers				
2693	429	I	Où (où allez-vous ?)	Where? (in Where are you going?)	（在… 地方）	đi đâu		?	nau 'e ṇā	nəw ʔae naː			-	various	divers				
2694	429.1a	II	Quand (y allez-vous ?)	When? (in When are you going?)	何时，什么时候	khi nào anh đi?		kāl ṇā	kaːl naː	pèl kaːl				various	divers				
2695		IV						bel ṇā	peːl naː	ʔəŋkal naː				various	divers				
2696		III	(futur)	(When will you go?)	（你什么时候走？）	khi nào anh sẽ đi?		'aṅkāl¢	ʔəŋkal	pìː ʔɔŋkal				various	divers				
2697	429.1b	III	Quand (êtes-vous allé ?)	When?	什么时候，何时？	anh đi lúc nào?		-	-					various	divers				
2698	429.2	II	Combien (avez-vous d’argent ?)	How much? How many (in How much money have you got?)	多少	bao nhiêu tiền?		p"un mān	ponmaːn	pəmmaːn				various	divers				
2699	429.3	III	Combien (d’enfants ?)	How many (children)?	多少（孩子）？	bao nhiêu, mấy con?		-	-					various	divers				
2700	429.4	III	Quel âge (avez-vous ?)	How old (are you)?	多少岁？几岁？	bao nhiêu, mấy tuổi?		-	-					various	divers				
2701	429.5	III	Comment t’appelles-tu ?	What's your name?	你叫什么名字？	mi tên gì? mày tên gì?		-	-					various	divers				
2702	430	I	Aucun … ne	None	无，没	không cái gì … cả		gmān mnāk¢	kʰmiən məneəʔ	-				various	divers				
2703	430.1	III	<Négation> (parlé)	<Negation> (spoken)	不（否定——口语）	không		'at¢ … (de)	ʔɑt … (teː)	ʔɒt … tèː				various	divers				
2704		IV	  (écrit)					min … (de)	mɨn … (teː)					various	divers				
2705	430.2	III	Ne plus	No longer	不再	không còn gì nữa		-	-					various	divers				
2706	430.3	III	Ne jamais	Never	从不，未曾	chưa bao giờ	không bao giờ	-	-					various	divers				
2707	431	I	Quelques uns	Some	一些	vài người		khlaḥ	kʰlah	ɓaːn kʰlah				various	divers				
2708		IV						bīr pī nāk¢	piː ɓɛj neək					various	divers				
2709		IV	(choses, animaux)					bīr pī	piː ɓɛj					various	divers				
2710		IV						khlaḥ	kʰlah					various	divers				
2711	432	I	Peu (il y a peu de maisons)	Few (in There are few houses)	少	ít		pantic	ɓəntec	ʔɔntɛc ʔɔntuɛc				various	divers				
2712		IV						tic	tec					various	divers				
2713	433	I	Beaucoup	Many (in There are many houses)	多	nhiều		-	crə´ːn					various	divers				
2714	433.1	III	Trop de	Too	太	quá, lắm	quá nhiều	-	-					various	divers				
2715	433.2	III	Pareil, identique	Identical	相同	y như		-	-					various	divers				
2716	433.3	III	Semblable, ressemblant	Similar	类似	giống, tương tự	giống như	-	-					various	divers				
2717	433.4	III	Différent	Different	不同，差异	khác nhau		-	-					various	divers				
2718	434	I	Tous	All	一切，全部，所有	tất cả		dāṁṅ 'as¢ (gnā)	teəŋ ʔɑh (kʰniə)	taŋ ʔah				various	divers				
2719		IV								taŋ láːj				various	divers				
2720		IV								tʰom càːŋ				various	divers				
2721	435	I	Plus grand que	Bigger than (in His house is bigger than mine)	（比… 大）	lớn hơn		jāṅ	ciəŋ	túːc càːŋ 				various	divers				
2722	436	I	Moins grand que	Smaller than (in My house is smaller than his)	（比… 小）	lớn thua, nhỏ hơn		tic jāṅ	tec ciəŋ	-				various	divers				
2723	437	I	Oui (diverses formes)	Yes (various forms)	是，对	dạ, vâng, ừ		'œ/ 'ð	ʔaə/ʔɤː/ʔɨː/	ʔəː/ʔɯː				various	divers				
2724		IV	(homme poli)					pād	ɓaːt					various	divers				
2725		IV	(très poli)					dān (pros)	tiən (praoh)					various	divers				
2726		IV	(femme poli)					c+āḥ	caː(h)					various	divers				
2727		IV	(à 1 moine/ entre moines)					karuṇā	karunaː/ kənaː					various	divers				
2728		IV	(moine à roi)					thvāy braḥ bar	tʰvaːj preəh pɔː					various	divers				
2729		IV	(moine à laïque)					(camrœn) bar	(cəmraən) pɔː					various	divers				
2730	438	I	Non (diverses formes)	No (various forms)	不，没有，哪里，无，未	không, đâu có		('at¢) de	(ʔɑt) teː	tèː				various	divers				
2731		IV								mmɛ`ːn tèː				various	divers				
2732		IV	(homme poli)					pād de	ɓaːt teː					various	divers				
2733		IV	(femme poli)					c+āḥ de	caː(h) teː					various	divers				
2734	438.1	III	Avoir, posséder	To have	有	có		-	-					various	divers				
2735	438.2	III	Il y a	There	那（里）	đó, kia	có	-	-					various	divers				
2736	438.3	III	Possible	Possible	可能	có thể, được		-	-					various	divers				
2737	438.4	III	Pas possible	Impossible	不可能	không thể, không được		-	-					various	divers				
2738	438.5	III	Commencement	Beginning	开始（名词）	bắt đầu		-	-					various	divers				
2739	438.6	III	Commencer à	To begin	开始（动词）	bắt đầu		-	-					various	divers				
2740	438.7	III	Fin	Ending	结束（名词），结尾，结局，最后	cuối, hết, sau cùng		-	-					various	divers				
2741	438.8	III	Finir de, terminer	To finish, to complete	完成（动词）	kết thúc, làm xong		-	-					various	divers				
2742	438.9	III	Fini, terminé	Finish	完成（名词）	sự kết thúc, sự hoàn thành	xong	-	-					various	divers				
2743	439	I	Couleur (général)	Colors	颜色，色彩	màu sắc		ba[r]ṇ	pɔə	pɔr/səmɓor				colours	couleurs				
2744	439.1	II	Blanc	White	白	trắng		sa	sɑː	sɒː				colours	couleurs				
2745	439a	II	Blanc (cheveux)	White (hair)	白（头发）	tóc trắng, bạc		sa skūv	sɑː skɤw	skúː				colours	couleurs				
